,Artist,Track,0,1,2,3,4
153,Nipsey Hussle,Killer ,Drake,,,,
154,Future,Fo Real,Drake,,,,
155,Snoop Lion,No Guns Allowed ,Drake,Cori B.,,,
156,A$AP Rocky,F**kin' Problems ,Drake,2 Chainz,Kendrick Lamar,,
157,2 Chainz,I Do It,Drake,Lil Wayne,,,
158,Meek Mill,Amen ,Drake,,,,
159,DJ Drama,We In This 1.5 ,Drake,Future,,,
160,Future,Tony Montana ,Drake,,,,
161,Waka Flocka Flame,Round of Applause ,Drake,,,,
162,T.I.,Poppin Bottles ,Drake,,,,
163,Bun B,Put It Down ,Drake,,,,
164,Nicki Minaj,Moment 4 Life,Drake,,,,
165,Mary J. Blige,The One,Drake,,,,
166,Bun B,It's Been a Pleasure,,,,,
167,Pimp C,What Up,,,,,
168,Trey Songz,I Invented Sex ,Drake,,,,
169,Birdman,Money To Blow,Lil Wayne,Drake,,,
170,Future,Used to This ,Drake,,,,
171,DJ Khaled,No New Friends,Drake,Rick Ross,Lil Wayne,,
172,Young Money,BedRock,Lloyd,,,,
173,Drake,Forever,Kanye West,Lil Wayne,Eminem,,
174,Young Money,EveryGirl In The World,,,,,
175,Lil Wayne,Stuntin,,,,,
176,Page,I'm Still Fly,,,,,
177,Gucci Mane,Both ,Drake,,,,
178,DJ Rell,Made Men,Rick Ross,,,,
179,WizKid,Ojuelegba (Remix),,,,,
180,Beyoncé,Mine ,Drake,,,,
181,Jamie Foxx,Digital Girl Remix ,Drake,Kanye West,The-Dream,Sean K.,"C. ""Tricky"" Stewart"
182,Kos,"Faith, Pt. 2",Drake,,,,
183,Trey Songz,Unusual ,Drake,,,,
184,Jenna,Change You,Drake,,,,
185,Alicia Keys,Un-thinkable (I'm Ready) ,Drake,,,,
186,Slakah The Beatchild,Bad Meaning Good,Drake,,,,
187,Tank,Celebration ,Drake,,,,
188,Nicki Minaj,No Frauds,Drake,Lil Wayne,,,
189,Drake,Free Smoke,,,,,
190,Drake,No Long Talk,Giggs,,,,
191,Drake,Passionfruit,,,,,
192,Drake,Jorja,,,,,
193,Drake,Get It Together,Black Coffee,Jorja Smith,,,
194,Drake,Madiba Riddim,,,,,
195,Drake,Blem,,,,,
196,Drake,4422,Sampha,,,,
197,Drake,Gyalchester,,,,,
198,Drake,Skepta,,,,,
199,Drake,Portland,Quavo,Travis Scott,,,
200,Drake,Sacrifices,2 Chainz,Young Thug,,,
201,Drake,Nothings Into Somethings,,,,,
202,Drake,Teenage Fever,,,,,
203,Drake,KMT,Giggs,,,,
204,Drake,Lose You,,,,,
205,Drake,Can't Have Everything,,,,,
206,Drake,Glow,Kanye West,,,,
207,Drake,Since Way Back,PARTYNEXTDOOR,,,,
208,Drake,Fake Love,,,,,
209,Drake,Ice Melts,Young Thug,,,,
210,Drake,Do Not Disturb,,,,,
211,Chris Brown,Deuces Remix ,Drake,Kanye West,André 3000,,
212,WizKid,Come Closer ,Drake,,,,
213,Fabolous,Throw It In The Bag,Drake,The Dream,,,
214,Gucci Mane,Both ,Drake,Lil Wayne,,,
215,Young Money,Pass The Dutch,Shawt Dawg,,,,
216,Young Money,F*** Da Bulls***,Birdman,,,,
217,Drake,Tuscan Leather,,,,,
218,Drake,Furthest Thing,,,,,
219,Drake,Started From the Bottom,,,,,
220,Drake,Wu-Tang Forever,,,,,
221,Drake,Own It,,,,,
222,Drake,Worst Behavior,,,,,
223,Drake,From Time,Jhené Aiko,,,,
224,Drake,"Hold On, We're Going Home",Majid Jordan,,,,
225,Drake,Connect,,,,,
226,Drake,The Language,,,,,
227,Drake,305 To My City,Detail,,,,
228,Drake,Too Much,Sampha,,,,
229,Drake,Pound Cake / Paris Morton Music 2,JAY-Z,,,,
230,The Weeknd,Live For,Drake,,,,
231,DJ Khaled,To the Max,Drake,,,,
232,Drake,Signs,,,,,
233,Metro Boomin,No Complaints,Offset,Drake,,,
234,Slakah The Beatchild,Enjoy Ya Self V2,Drake,,,,
235,Slakah The Beatchild,Share,Drake and Hazel on the beat,,,,
236,Trouble,Bring It Back ,Drake,Mike WiLL Made-It,,,
237,Gucci Mane,In My Business ,Drake,Sean Garrett,,,
238,Lenny Kravitz,Sunflower ,,,,,
239,Drake,Diplomatic Immunity,,,,,
240,Migos,Walk It Talk It,Drake,,,,
241,BlocBoy JB,Look Alive ,Drake,,,,
242,N.E.R.D,Lemon ,Rihanna,Drake,,,
243,Lil Baby,Yes Indeed,Drake,,,,
244,2 Chainz,Bigger Than You ,Drake,Quavo,,,
245,Drake,Survival,,,,,
246,Drake,Nonstop,,,,,
247,Drake,Elevate,,,,,
248,Drake,Emotionless,,,,,
249,Drake,God's Plan,,,,,
250,Drake,I'm Upset,,,,,
251,Drake,8 Out Of 10,,,,,
252,Drake,Mob Ties,,,,,
253,Drake,Can’t Take A Joke,,,,,
254,Drake,Sandra’s Rose,,,,,
255,Drake,Talk Up,JAY-Z,,,,
256,Drake,Is There More,,,,,
257,Drake,Peak,,,,,
258,Drake,Summer Games,,,,,
259,Drake,Jaded,,,,,
260,Drake,Nice For What,,,,,
261,Drake,Finesse,,,,,
262,Drake,Ratchet Happy Birthday,,,,,
263,Drake,That’s How You Feel,,,,,
264,Drake,Blue Tint,,,,,
265,Drake,In My Feelings,,,,,
266,Drake,Don’t Matter To Me,Michael Jackson,,,,
267,Drake,,Static Major,Ty Dolla $ign,,,
268,Drake,Final Fantasy,,,,,
269,Drake,March 14,,,,,
270,Travis Scott,SICKO MODE,,,,,
271,French Montana,No Stylist ,Drake,,,,
272,Lil Baby,Never Recover (Lil Baby,Gunna,Drake,,,
273,Bad Bunny,MIA ,Drake,,,,
274,Quavo,FLIP THE SWITCH ,Drake,,,,
275,Meek Mill,Going Bad ,Drake,,,,
276,Evil Empire,All Of The Lights,,,,,
277,Drake,Lust For Life,,,,,
278,Drake,Houstatlantavegas,,,,,
279,Drake,Successful ,Trey Songz,Lil Wayne,,,
280,Drake,Let’s Call It Off ,Peter Bjorn and John,,,,
281,Drake,November 18th,,,,,
282,Drake,Ignant Shit ,Lil Wayne,,,,
283,Drake,A Night Off ,Lloyd,,,,
284,Drake,Say What's Real,,,,,
285,Drake,Little Bit ,Lykke Li,,,,
286,Drake,Best I Ever Had,,,,,
287,Drake,Unstoppable ,Santigold,Lil Wayne,,,
288,Drake,Uptown ,Bun B,Lil Wayne,,,
289,Drake,Sooner Than Later,,,,,
290,Drake,Bria's Interlude ,Omarion,,,,
291,Drake,The Calm,,,,,
292,Drake,Outro ,Chilly Gonzales,,,,
293,Drake,Brand New,,,,,
294,Drake,Congratulations,,,,,
295,Summer Walker,Girls Need Love ,Drake,,,,
296,Drake,Omertà,,,,,
297,Drake,Money In The Grave (Drake,Rick Ross,,,,
298,Drake,Dreams Money Can Buy,,,,,
299,Drake,The Motion,,,,,
300,Drake,How Bout Now,,,,,
301,Drake,Trust Issues,,,,,
302,Drake,Days in The East,,,,,
303,Drake,Dr,,,,,
304,Drake,4pm in Calabasas,,,,,
305,Drake,5 Am in Toronto,,,,,
306,Drake,I Get Lonely,,,,,
307,Drake,My Side,,,,,
308,Drake,Jodeci Freestyle ,J. Cole,,,,
309,Drake,Club Paradise,,,,,
310,Drake,Free Spirit ,Rick Ross,,,,
311,Drake,Heat Of The Moment,,,,,
312,Drake,Girls Love Beyoncé ,James Fauntleroy,,,,
313,Drake,Paris Morton Music,,,,,
314,Drake,Can I,,,,,
315,Swae Lee,Won't Be Late ,Drake,,,,
316,PARTYNEXTDOOR,LOYAL ,Drake,,,,
317,MC Kevin o Chris,Ela É do Tipo ,Drake,,,,
318,Drake,Behind Barz,,,,,
319,JAY-Z,Off That,Drake,,,,
320,Future,Life Is Good ,Drake,,,,
321,PARTYNEXTDOOR,LOYAL ,Drake,Bad Bunny,,,
322,Future,Life Is Good ,DaBaby,Drake,Lil Baby,,
323,Lil Yachty,Oprah’s Bank Account (Lil Yachty & DaBaby,DaBaby,Drake,,,
324,Drake,Pop Style,The Throne,,,,
325,Drake,Deep Pockets,,,,,
326,Drake,When To Say When,,,,,
327,Drake,Chicago Freestyle ,Giveon,,,,
328,Drake,Not You Too ,Chris Brown,,,,
329,Drake,Toosie Slide,,,,,
330,Drake,Desires ,Future,,,,
331,Drake,Time Flies,,,,,
332,Drake,Landed,,,,,
333,Future,D4L,Drake,Young Thug,,,
334,Drake,Pain 1993 ,Playboi Carti,,,,
335,Drake,Losses,,,,,
336,Drake,From Florida,,,,,
337,Drake,Demons ,Fivio Foreign,Sosa Geek,,,
338,Drake,War,,,,,
