,Artist,Track,0,1,2,3,4,5
96,Lil Wayne,Believe That,Blaque,Mannie Fresh,,,,
97,Lil Wayne,Young N' Blues,,,,,,
98,Lil Wayne,Go Hard,,,,,,
99,Lil Wayne,500 Degreez,,,,,,
100,Lil Wayne,Worry Me,,,,,,
101,Lil Wayne,Where You At,,,,,,
102,Lil Wayne,Bloodline,,,,,,
103,Lil Wayne,Gangsta Shit,Petey Pablo,,,,,
104,Lil Wayne,Lovely,,,,,,
105,Lil Wayne,Gangsta And Pimps,Baby,,,,,
106,Lil Wayne,Way Of Life,,,,,,
107,Lil Wayne,Look At Me,,,,,,
108,Lil Wayne,Fly Talkin',,,,,,
109,Lil Wayne,American Star,Shanell,,,,,
110,Lil Wayne,Prom Queen,Shanell,,,,,
111,Lil Wayne,Ground Zero,,,,,,
112,Lil Wayne,Da Da Da,,,,,,
113,Lil Wayne,Paradice,,,,,,
114,Lil Wayne,Get A Life,,,,,,
115,Lil Wayne,On Fire,,,,,,
116,Lil Wayne,Drop The World,Eminem,,,,,
117,Lil Wayne,One Way Trip,Kevin Rudolf,,,,,
118,Lil Wayne,Knockout,Nicki Minaj,,,,,
119,Lil Wayne,The Price Is Wrong,,,,,,
120,Lil Wayne,I'll Die For You,,,,,,
121,Lil Wayne,I’m So Over You,Shanell,,,,,
122,Lil Wayne,Gonorrhea,Drake,,,,,
123,Lil Wayne,Hold Up,T Streets,,,,,
124,Lil Wayne,With Yo,Drake,,,,,
125,Lil Wayne,I Am Not A Human Being,,,,,,
126,Lil Wayne,I'm Single,Drake,,,,,
127,Lil Wayne,Right Above It,Drake,,,,,
128,Lil Wayne,What's Wrong,Nicki Minaj,,,,,
129,Lil Wayne,Popular,Lil Twist,,,,,
130,Lil Wayne,That Ain't Me,Jay Sean,,,,,
131,Lil Wayne,Bill Gates,,,,,,
132,Lil Wayne,YM Banger,Jae Millz,Gudda Gudda,Tyga,,,
133,Lil Wayne,YM Salute,Lil Twist,Lil Chuckee,Gudda Gudda,Jae Millz,Nicki Minaj,
134,Lil Wayne,I Don't Like The Look Of It,Nicki Minaj,,,,,
135,Lil Wayne,IANAHB,,,,,,
136,Lil Wayne,Curtains,Boo,,,,,
137,Lil Wayne,Days And Days,2 Chainz,,,,,
138,Lil Wayne,Gunwalk,Gudda Gudda,,,,,
139,Lil Wayne,No Worries,Detail,,,,,
140,Lil Wayne,Back To You,,,,,,
141,Lil Wayne,Beat The Shit,Gunplay,,,,,
142,Lil Wayne,Trigger Finger,Soulja Boy,,,,,
143,Lil Wayne,Rich As Fuck,2 Chainz,,,,,
144,Lil Wayne,Trippy,Juicy J,,,,,
145,Lil Wayne,Love Me,Drake,Future,,,,
146,Lil Wayne,God Bless Amerika,,,,,,
147,Lil Wayne,Wowzerz,Trina,,,,,
148,Lil Wayne,Hello,Shane Heyl,,,,,
149,Lil Wayne,Hot Revolver,Dre,,,,,
150,Lil Wayne,My Homies Still,Big Sean,,,,,
151,Lil Wayne,No Mercy,,,,,,
152,Lil Wayne,Sucker for Pain ,Wiz Khalifa,Imagine Dragons,X Ambassadors,Logic,Ty Dolla $ign,
153,Raw Dizzy,Heaven,Lil Wayne,,,,,
154,Lil Wayne,Nothing but Trouble,Charlie Puth,,,,,
155,Lil Wayne,Start A Fire,Christina Milian,,,,,
156,Lil Wayne,Gotti,The LOX,,,,,
157,Lil Wayne,Krazy,,,,,,
158,Lil Wayne,Believe Me,Drake,,,,,
159,Lil Wayne,Grindin',Drake,,,,,
160,Lil Wayne,No Worries,Detail,,,,,
161,Lil Wayne,My Homies Still,Big Sean,,,,,
162,Lil Wayne,She Will,Drake,,,,,
163,Lil Wayne,John,Rick Ross,,,,,
164,Lil Wayne,How To Love,,,,,,
165,Lil Wayne,I'm Single,,,,,,
166,Lil Wayne,I'm Me,,,,,,
167,Lil Wayne,Gossip,,,,,,
168,Lil Wayne,Kush,,,,,,
169,Lil Wayne,Love Me or Hate Me,,,,,,
170,Lil Wayne,Talkin About It,,,,,,
171,Lil Wayne,Get Off The Corner,,,,,,
172,Lil Wayne,On The Grind,,,,,,
173,Lil Wayne,Hit U Up,Hot Boys,,,,,
174,Lil Wayne,Everything,,,,,,
175,Lil Wayne,Fuck Wit Me Now,,,,,,
176,Lil Wayne,Lil' One,Big Tymers,,,,,
177,Lil Wayne,Break Me Off,Big Tymers,Official,,,,
178,Lil Wayne,Wish You Would,,,,,,
179,Lil Wayne,Grown Man,,,,,,
180,Lil Wayne,Shine,Hot Boyz,,,,,
181,Lil Wayne,Jump Jiggy,,,,,,
182,Lil Wayne,Realized,,,,,,
183,Lil Wayne,The Blues,,,,,,
184,Lil Wayne,Let's Go,Big Tymers,,,,,
185,Lil Wayne,Biznite,,,,,,
186,Lil Wayne,Act A Ass,B!G,,,,,
187,Lil Wayne,Beef,,,,,,
188,Bankroll Fresh,Hot Boy (Remix),Lil Wayne,Juvenile,Turk,,,
189,Young Dolph,Preach,Lil Wayne,2 Chainz,,,,
190,Lil Wayne,Runnin,Shanell,,,,,
191,Nicki Minaj,No Frauds,Drake,Lil Wayne,,,,
192,Nicki Minaj,Changed It,Lil Wayne,,,,,
193,Lil Wayne,Dedication 3,,,,,,
194,Lil Wayne,Bang Bang,,,,,,
195,Lil Wayne,The Other Side,,,,,,
196,Lil Wayne,She's A Ryder,,,,,,
197,Lil Wayne,Magic,,,,,,
198,Lil Wayne,Whoever You Like,,,,,,
199,Lil Wayne,Get Bizzy,,,,,,
200,Lil Wayne,I Got That Gangsta,,,,,,
201,Lil Wayne,Put You On For The Game,,,,,,
202,Future,Way I'm Ballin,Lil Wayne,The Birdman,Mack Maine,,,
203,Wale,Running Back ,Lil Wayne,,,,,
204,Bebe Rexha,The Way I Are (Dance,Lil Wayne,,,,,
205,David Guetta,Light My Body Up ,,,,,,
206,Kodak Black,Codeine Dreaming ,Lil Wayne,,,,,
207,Drake,Forever,Kanye West,Lil Wayne,Eminem,,,
208,Nicki Minaj,Rich Sex ,Lil Wayne,,,,,
209,Future,Drive Itself (Future,Lil Wayne,,,,,
210,Lil Wayne,I Love You Dwayne,,,,,,
211,Lil Wayne,Don't Cry ,XXXTENTACION,,,,,
212,Lil Wayne,Dedicate,,,,,,
213,Lil Wayne,Uproar,Swizz Beatz,,,,,
214,Lil Wayne,Let It Fly ,Travis Scott,,,,,
215,Lil Wayne,Can't Be Broken,,,,,,
216,Lil Wayne,Dark Side Of The Moon ,Nicki Minaj,,,,,
217,Lil Wayne,Mona Lisa ,Kendrick Lamar,,,,,
218,Lil Wayne,What About Me ,Sosamann,,,,,
219,Lil Wayne,Open Letter,,,,,,
220,Lil Wayne,Famous ,Reginae Carter,,,,,
221,Lil Wayne,Problems,,,,,,
222,Lil Wayne,Dope Niggaz ,Snoop Dogg,,,,,
223,Lil Wayne,Hittas,,,,,,
224,Lil Wayne,Took His Time,,,,,,
225,Lil Wayne,Open Safe,,,,,,
226,Lil Wayne,Start This Shit Off Right ,Ashanti,Mack Maine,,,,
227,Lil Wayne,Demon,,,,,,
228,Lil Wayne,Mess,,,,,,
229,Lil Wayne,Dope New Gospel ,Nivea,,,,,
230,Lil Wayne,Perfect Strangers,,,,,,
231,Lil Wayne,Used 2,,,,,,
232,Lil Wayne,Let It All Work Out,,,,,,
233,Lil Wayne,Hasta La Vista,,,,,,
234,Lil Wayne,In This House ,Gucci Mane,,,,,
235,Lil Wayne,What About Me ,Post Malone,,,,,
236,Lil Wayne,Funeral,,,,,,
237,Lil Wayne,Mahogany,,,,,,
238,Lil Wayne,Mama Mia,,,,,,
239,Lil Wayne,I Do It ,Big Sean,Lil Baby,,,,
240,Lil Wayne,Dreams,,,,,,
241,Lil Wayne,Stop Playin,,,,,,
242,Lil Wayne,Clap For Em,,,,,,
243,Lil Wayne,Bing James ,Jay Rock,,,,,
244,Lil Wayne,Not Me,,,,,,
245,Lil Wayne,Trust Nobody ,Adam Levine,,,,,
246,Lil Wayne,Know You Know ,2 Chainz,,,,,
247,Lil Wayne,Wild Dogs,,,,,,
248,Lil Wayne,Harden,,,,,,
249,Lil Wayne,I Don't Sleep ,Takeoff,,,,,
250,Lil Wayne,Sights And Silencers ,The-Dream,,,,,
251,Lil Wayne,Ball Hard ,Lil Twist,,,,,
252,Lil Wayne,Bastard (Satan's Kid),,,,,,
253,Lil Wayne,Get Outta My Head ,XXXTENTACION,,,,,
254,Lil Wayne,Piano Trap,,,,,,
255,Lil Wayne,Line Em Up,,,,,,
256,Lil Wayne,Darkside,,,,,,
257,Lil Wayne,Never Mind,,,,,,
258,Lil Wayne,T.O. ,O.T. Genasis,,,,,
259,Lil Wayne,Wayne's World,,,,,,
260,Drake,I'm Goin In,Lil Wayne,Jeezy,,,,
261,Drake,The Motto,Lil Wayne,,,,,
262,DJ Khaled,I'm On One,Drake,Rick Ross,Lil Wayne,,,
263,Juicy J,Bandz A Make Her Dance ,Lil Wayne,2 Chainz,,,,
264,Rich Gang,Tapout,Lil Wayne,Birdman,Mack Maine,Nicki Minaj,Future,
265,Eminem,No Love,Lil Wayne,,,,,
266,DJ Khaled,No New Friends,Drake,Rick Ross,Lil Wayne,,,
267,Chris Brown,Look At Me Now ,Lil Wayne,Busta Rhymes,,,,
268,Birdman,Pop Bottles,Lil Wayne,,,,,
269,The Game,My Life,Lil Wayne,,,,,
270,DJ Khaled,Take It To The Head,Chris Brown,Rick Ross,Nicki Minaj,Lil Wayne,,
271,Playa Circle,Duffle Bag Boy,Lil Wayne,,,,,
272,Young Money,EveryGirl In The World,,,,,,
273,Future,Karate Chop (Remix) ,Lil Wayne,,,,,
274,T.I.,Ball ,Lil Wayne,,,,,
275,Young Money,Moment,Lil Wayne,,,,,
276,Young Money,BedRock,Lloyd,,,,,
277,Young Money,Roger That,,,,,,
278,Drake,Uptown ,Bun B,Lil Wayne,,,,
279,Drake,Used To,Lil Wayne,,,,,
280,Fat Joe,Make It Rain,Lil Wayne,,,,,
281,Birdman,Y.U. MAD,Nicki Minaj,Lil Wayne,,,,
282,YG,My Nigga,Lil Wayne,Rich Homie Quan,Meek Mill,Nicki Minaj,,
283,DJ Khaled,Bitches,Lil Wayne,T.I.,Future,,,
284,JAY-Z,Swagga Like Us,T.I.,Kanye West,Lil Wayne,,,
285,Ace Hood,We Outchea,Lil Wayne,,,,,
286,Young Money,Pass The Dutch,Shawt Dawg,,,,,
287,The Game,Celebration,Chris Brown,Tyga,Wiz Khalifa,Lil Wayne,,
288,The Game,Red Nation,Lil Wayne,,,,,
289,Kevin Rudolf,Let It Rock,Lil Wayne,,,,,
290,Lil Wayne,Dreams and Nightmares,,,,,,
291,Mike WiLL Made-It,Buy The World,Lil Wayne,Kendrick Lamar,Future,,,
292,Gucci Mane,Both ,Drake,Lil Wayne,,,,
293,Mike Posner,Bow Chicka Wow Wow ,Lil Wayne,,,,,
294,Young Money,Steady Mobbin,Gucci Mane,,,,,
295,Lil Wayne,On Tha Block #1,,,,,,
296,2 Chainz,Gotta Lotta,Lil Wayne,,,,,
297,Birdman,I Run This,Lil Wayne,,,,,
298,Nicki Minaj,Truffle Butter,Drake,Lil Wayne,,,,
299,2 Chainz,Bounce,Lil Wayne,,,,,
300,DJ Khaled,Welcome To My Hood,Rick Ross,Plies,Lil Wayne,T-Pain,,
301,Chris Brown,I Can Transform Ya ,Swizz Beatz,Lil Wayne,,,,
302,DJ Khaled,We Takin' Over,,,,,,
303,Birdman,Dark Shades,Lil Wayne,Mack Maine,,,,
304,Big Sean,Deep,Lil Wayne,,,,,
305,2 Chainz,Smell Like Money,Lil Wayne,,,,,
306,Rick Ross,Thug Cry,Lil Wayne,,,,,
307,Lil Wayne,Hot Nigga,,,,,,
308,Chris Brown,Loyal ,Lil Wayne,Tyga,,,,
309,Young Money,Senile,Tyga,Nicki Minaj,Lil Wayne,,,
310,Lil Wayne,Drunk in Love,Christina Milian,,,,,
311,Lil Wayne,On Tha Block #3,,,,,,
312,Lil Wayne,On Tha Block #2,,,,,,
313,Young Money,We Alright,euro,Birdman,Lil Wayne,,,
314,Lil Wayne,Action,,,,,,
315,Wayne,Fresh,,,,,,
316,Wayne,Where Ya At,,,,,,
317,Wayne,Cross Me,,,,,,
318,Wayne,I'm Nice,,,,,,
319,Wayne,Duck,,,,,,
320,Wayne,Popping,,,,,,
321,Wayne,Crystal Ball,,,,,,
322,Wayne,Jumpman,,,,,,
323,Wayne,The Hills,,,,,,
324,Wayne,Destroyed,,,,,,
325,Wayne,Finessin,,,,,,
326,Wayne,No Days Off,,,,,,
327,Wayne,Live From The Gutter,,,,,,
328,Wayne,Big Wings,,,,,,
329,Wayne,Too Young,,,,,,
330,Wayne,Lil Bit,,,,,,
331,Wayne,Get Ya Gat,,,,,,
332,Wayne,No Reason,,,,,,
333,Wayne,Plastic Bag,,,,,,
334,Wayne,Diamonds,,,,,,
335,Kevin Rudolf,I Made It (Cash Money Heroes),Birdman,Jay Sean,Lil Wayne,,,
336,Yo Gotti,"Women Lie, Men Lie ",Lil Wayne,,,,,
337,Young Money,Uoeno,,,,,,
338,2 Chainz,What Happened,Lil Wayne,,,,,
339,Lil Wayne,They Still Like Me,,,,,,
340,L.O.C,"Pussy, Money, Weed ",Wayne,,,,,
341,Lil Wayne,Skit,,,,,,
342,Young Money,Trophies,Drake,,,,,
343,Lil Wayne,Spitter,,,,,,
344,Lil Wayne,Mafia Music,,,,,,
345,Lil Wayne,Let's Do It,,,,,,
346,Swizz Beatz,Pistol On My Side (P.O.M.S) ,Lil Wayne,,,,,
347,2 Chainz,Rolls Royce Weather Every Day,Lil Wayne,,,,,
348,Young Money,Good Day,Tyga,Meek Mill,Lil Wayne,,,
349,Lloyd,You,Lil Wayne,,,,,
350,Lil Wayne,Upgrade You,,,,,,
351,Lil Wayne,Poppin' Them Bottles,,,,,,
352,Lil Wayne,Intro (Watch Them People,,,,,,
353,Lil Wayne,Big Tigger Live On The Radio,,,,,,
354,Lil Wayne,Rob Nice Live On The Radio,,,,,,
355,Lil Wayne,Inkredible,,,,,,
356,Lil Wayne,Big Tigger Live On The Radio,,,,,,
357,Rich Gang,Take Kare,Young Thug,Lil Wayne,,,,
358,Lil Wayne,Where The Cash At,,,,,,
359,Lil Wayne,Sportscenter,,,,,,
360,Young Money,F*** Da Bulls***,Birdman,,,,,
361,Lil Wayne,Shit,,,,,,
362,Kanye West,See You In My Nightmares,Lil Wayne,,,,,
363,Lil Wayne,Trap House,,,,,,
364,Jay Sean,Down,Lil Wayne,,,,,
365,DJ Khaled,How Many Times ,Chris Brown,Lil Wayne,Big Sean,,,
366,Birdman,100 Million,Jeezy,Rick Ross,Lil Wayne,,,
367,Lil Wayne,Hollyweezy,,,,,,
368,Lil Wayne,Homerun,,,,,,
369,Meek Mill,Ima Boss ,Birdman,DJ Khaled,Lil Wayne,Rick Ross,Swizz Beatz,T.I.
370,Kelly Rowland,ICE,Lil Wayne,,,,,
371,T-Pain,Bang Bang Pow Pow ,Lil Wayne,,,,,
372,Birdman,Always Strapped,Lil Wayne,,,,,
373,Wyclef Jean,Sweetest Girl (Dollar Bill) ,Akon,Lil Wayne,Niia,,,
374,Lil Wayne,No Type,,,,,,
375,The Game,Martians Vs Goblins,Lil Wayne,"Tyler, The Creator",,,,
376,Mustard,Face Down,Lil Wayne,Big Sean,YG,Boosie Badazz,,
377,Lil Wayne,Get 'Em,,,,,,
378,T-Pain,Can't Believe It ,Lil Wayne,,,,,
379,Lil Wayne,Ridin' Wit The AK,,,,,,
380,Rick Ross,Maybach Music 2,T-Pain,Lil Wayne,Kanye West,,,
381,Lil Wayne,Lollipop,Static Major,Kanye West,,,,
382,Lil Wayne,You Guessed It,,,,,,
383,Lil Wayne,Drop It Low,,,,,,
384,Lil Wayne,Stupid Wild,,,,,,
385,David Banner,9MM,Akon,Snoop Dogg,Lil Wayne,,,
386,Jennifer Lopez,I'm Into You,Lil Wayne,,,,,
387,Lil Wayne,Welcome To Tha Concrete Jungle,,,,,,
388,Lil Wayne,Coco,,,,,,
389,Lil Wayne,No Other,,,,,,
390,2 Chainz,MFN Right,Lil Wayne,,,,,
391,Lil Wayne,Fingers Hurting,,,,,,
392,A$AP Rocky,M'$ ,Lil Wayne,,,,,
393,Chris Brown,Gimme That Remix,Lil Wayne,,,,,
394,Meek Mill,Im Good,Lil Wayne,,,,,
395,Lil Wayne,Selsun Blue,,,,,,
396,Destiny's Child,Soldier ,T.I.,Lil Wayne,,,,
397,Lil Wayne,Let's Get Crazy,,,,,,
398,Lil Wayne,Whip It,,,,,,
399,Chance the Rapper,No Problem ,Lil Wayne,2 Chainz,,,,
400,2 Chainz,Blue C-Note,Lil Wayne,,,,,
401,Lil Wayne,Prostitute 2,,,,,,
402,2 Chainz,Section,Lil Wayne,,,,,
403,Lil Wayne,Walk It Off,,,,,,
404,Lil Wayne,Girls on Girls,,,,,,
405,Kevin Rudolf,Spit In Your Face,Lil Wayne,,,,,
406,Bow Wow,Sweat,Lil Wayne,,,,,
407,Birdman,Make Way,Fat Joe,Lil Wayne,,,,
408,Lil Wayne,Dedication 2,,,,,,
409,Mack Maine,Celebrate,Talib Kweli,Lil Wayne,,,,
410,Ty Dolla $ign,Love U Better ,Nathaniel Alford,Twice As Nice,Lil Wayne,The-Dream,,
411,Lil Wayne,No Haters,,,,,,
412,Lil Wayne,Dusse,,,,,,
413,Lil Wayne,Good,Rocko,,,,,
414,Lil Wayne,Fed Up,,,,,,
415,Young Money,Finale,,,,,,
416,Lil Wayne,Streets Raised,,,,,,
417,Lil Wayne,Ain't That A Bitch,,,,,,
418,Lil Wayne,I Made It,,,,,,
419,Lil Wayne,Scared Money,,,,,,
420,Lil Wayne,Move The Damn Thing,,,,,,
421,Lil Wayne,Try Me,Mack Maine,,,,,
422,O.T. Genasis,Do It ,Lil Wayne,,,,,
423,Lil Wayne,Admit It,SNL,,,,,
424,Lil Wayne,Alphabet,,,,,,
425,Lil Wayne,4 My Town,,,,,,
426,Lil Wayne,Realest They Come,,,,,,
427,Lil Wayne,That's What Ni**as Do,,,,,,
428,2 Chainz,Bentley Truck,Lil Wayne,,,,,
429,2 Chainz,Back On The Bullshit,Lil Wayne,,,,,
430,DJ Drama,Cannon Remix ,Lil Wayne,Willie The Kid,Freeway,T.I.,,
431,Lil Wayne,I Want It All,,,,,,
432,Lil Wayne,The Best In The Business,,,,,,
433,OutKast,Hollywood Divorce ,Snoop Dogg,Lil Wayne,,,,
434,Lil Wayne,I'm The Best Rapper Alive,,,,,,
435,Lil Wayne,South Muzik,,,,,,
436,Rich The Kid,End Of Discussion ,Lil Wayne,,,,,
437,Lil Wayne,On The Block #1,,,,,,
438,B.o.B,E.T.,Lil Wayne,,,,,
439,Rich Gang,Bigger Than Life,Chris Brown,Tyga,Birdman,Lil Wayne,,
440,Lil Wayne,Tha Mobb,,,,,,
441,August Alsina,Why I Do It,Lil Wayne,,,,,
442,Lil Wayne,Scared of the Dark ,Ty Dolla $ign,XXXTENTACION,,,,
443,Lil Wayne,Only Way,Baby,,,,,
444,Lil Wayne,Strobelights,,,,,,
445,Lil Wayne,You Know What It Is,,,,,,
446,Lil Wayne,Errbody,Yo Gotti,Ludacris,,,,
447,DJ E-Feezy,What You Sayin ,Lil Wayne,,,,,
448,Lil Wayne,Next up Cypher,Young Money,,,,,
449,Cassidy,6 Minutes ,Lil Wayne,Fabolous,,,,
450,Drake,Ignant Shit ,Lil Wayne,,,,,
451,Lil Wayne,Be Me,,,,,,
452,Lil Wayne,Walk Out,,,,,,
453,Jeremih,All The Time,Lil Wayne,Natasha Mosley,,,,
454,Preme,Hot Boy,Lil Wayne,,,,,
455,Lil Wayne,A Dedication ,,,,,,
456,Lil Wayne,Weezy On Retirement,,,,,,
457,Lil Wayne,Stay Hood,Waka Flocka Flame,,,,,
458,Lil Wayne,Another Planet,,,,,,
459,Short Dawg,Let Me Hit,Tyga,Lil Wayne,,,,
460,Jeezy,Bout That,Lil Wayne,,,,,
461,Lil Wayne,Outta Here,,,,,,
462,Lil Wayne,Weezy On The Streets Of N.O,,,,,,
463,DeJ Loaf,Me U & Hennessy ,Lil Wayne,,,,,
464,Monica,Just Right for Me ,Lil Wayne,,,,,
465,Lil Wayne,Brown Sugar,Ray J,,,,,
466,The Game,Soo Woo,Lil Wayne,,,,,
467,Cassie,Official Girl ,,,,,,
468,Lil Wayne,Runnin Circles,Gucci Mane,,,,,
469,Fat Joe,Heavenly Father ,Lil Wayne,,,,,
470,Lil Wayne,Imagine,,,,,,
471,French Montana,Lose It,Rick Ross,Lil Wayne,,,,
472,Jeezy,Ballin',Lil Wayne,,,,,
473,Mike WiLL Made-It,Faith ,Lil Wayne,Hoodybaby,,,,
474,Kevin Rudolf,Champions,Limp Bizkit,Birdman,Lil Wayne,,,
475,Lil Wayne,Hustler Musik,,,,,,
476,Lil Wayne,Bullet Wound,Gucci Mane & Young Scooter,,,,,
477,Lil Wayne,Black Out,Juelz Santana,,,,,
478,Kesha,Sleazy REMIX 2.0 Get Sleazier ,Lil Wayne,Wiz Khalifa,T.I.,André 3000,,
479,Yo Gotti,Bible ,Lil Wayne,,,,,
480,Future,After That ,Lil Wayne,,,,,
481,Rich Gang,Have It Your Way,T.I.,Birdman,Lil Wayne,,,
482,ZAYN,PILLOWTALK REMIX ,Lil Wayne,Jaegen,,,,
483,Lil Wayne,Cannon (AMG Remix),,,,,,
484,Jay Rock,All My Life (In the Ghetto) ,Lil Wayne,William,,,,
485,Lil Baby,Forever ,Lil Wayne,,,,,
486,Drake,Unstoppable ,Santigold,Lil Wayne,,,,
487,Lil Wayne,On Tha Block #3,,,,,,
488,Lil Wayne,Other Side,,,,,,
489,The Game,From Adam,Lil Wayne,,,,,
490,Nicki Minaj,Roman's Revenge,Lil Wayne,,,,,
491,Shanell,So Good,Lil Wayne,Drake,,,,
492,Gucci Mane,Oh Lord,Lil Wayne,,,,,
493,Big Tymers,Project Bitch,Juvenile,Lil Wayne,,,,
494,2 Chainz,2 Dollar Bill ,Lil Wayne,E-40,,,,
495,Hot Boy Turk,Zip It,"Juve , Lil Tunechi",,,,,
496,Lil Wayne,Poppin,Currency,,,,,
497,Lil Wayne,No Hesitation,,,,,,
498,Lil Wayne,Str8 To The Dance Floor,,,,,,
499,DJ Khaled,Jealous ,Chris Brown,Lil Wayne,Big Sean,,,
500,Lil Wayne,For You,,,,,,
501,Gucci Mane,Bullet Wound ,Lil Wayne,Young Scooter,,,,
502,Boo And Gotti,Ain't It Man,Lil Wayne,,,,,
503,Lil Wayne,The Freestyle,,,,,,
504,Lil Wayne,This What I Call Her,,,,,,
505,Lil Wayne,Prostitute Flange,Juelz Santana,,,,,
506,Lil Wayne,Red Rum,,,,,,
507,PnB Rock,T-Shirt ,Lil Wayne,,,,,
