,Artist,Track,0,1,2,3,4,5,6
137,The-Dream,Walkin' On The Moon,Kanye West,,,,,,
138,N.A.S.A.,G,Kanye West,Santigold,Lykke Li,,,,
139,Mr Hudson,Supernova,Kanye West,,,,,,
140,Rick Ross,Maybach Music 2,T-Pain,Lil Wayne,Kanye West,,,,
141,Stromae,Alors On Danse,Kanye West,,,,,,
142,Drake,Forever,Kanye West,Lil Wayne,Eminem,,,,
143,Chris Brown,Deuces Remix,Drake,Kanye West,André 3000,,,,
144,JAY-Z,Run This Town,Rihanna,Kanye West,,,,,
145,JAY-Z,Hate,Kanye West,,,,,,
146,Kid Cudi,Make Her Say,Kanye West,Common,,,,,
147,Lloyd Banks,Start It Up,Kanye West,Swizz Beatz,Ryan Leslie,Fabolous,,,
148,Kid Cudi,Erase Me,Kanye West,,,,,,
149,Smitty,Ghetto,Kanye West,John Legend,Scarface,,,,
150,Keri Hilson,Pretty Girl Rock,Kanye West,,,,,,
151,JAY-Z,Go Hard (Remix),Kanye West,T-Pain,,,,,
152,T.I.,Welcome To The World ,Kanye West,Kid Cudi,,,,,
153,Rick Ross,"Live Fast, Die Young",Kanye West,,,,,,
154,Kanye West,Christmas In Harlem,CyHi The Prynce,Teyana Taylor,,,,,
155,Nicki Minaj,Blazin,Kanye West,,,,,,
156,Kanye West,Dark Fantasy,,,,,,,
157,Kanye West,Gorgeous,Kid Cudi,Raekwon,,,,,
158,Kanye West,POWER,,,,,,,
159,Kanye West,All Of The Lights ,,,,,,,
160,Kanye West,All Of The Lights,,,,,,,
161,Kanye West,Monster,JAY-Z,Rick Ross,Nicki Minaj,Bon Iver,,,
162,Kanye West,So Appalled,JAY-Z,Pusha T,CyHi The Prynce,Swizz Beatz,RZA,,
163,Kanye West,Devil In A New Dress,Rick Ross,,,,,,
164,Kanye West,Runaway,Pusha T,,,,,,
165,Kanye West,Hell Of A Life,,,,,,,
166,Kanye West,Blame Game,John Legend,,,,,,
167,Kanye West,Lost In The World,Bon Iver,,,,,,
168,Kanye West,Who Will Survive In America,,,,,,,
169,JAY-Z,No Church In The Wild,Kanye West,Frank Ocean,The-Dream,,,,
170,JAY-Z,L,Kanye West,Beyoncé,,,,,
171,JAY-Z,Ni**as In Paris,Kanye West,,,,,,
172,JAY-Z,Otis,Kanye West,Otis Redding,,,,,
173,JAY-Z,Gotta Have It,Kanye West,,,,,,
174,JAY-Z,New Day,Kanye West,,,,,,
175,JAY-Z,That's My Bitch,Kanye West,,,,,,
176,JAY-Z,Welcome To The Jungle,Kanye West,,,,,,
177,JAY-Z,Who Gon Stop Me,Kanye West,,,,,,
178,JAY-Z,Murder To Excellence,Kanye West,,,,,,
179,JAY-Z,Made In America,Kanye West,Frank Ocean,,,,,
180,JAY-Z,Why I Love You,Kanye West,Mr Hudson,,,,,
181,JAY-Z,Illest Motherf**ker Alive,Kanye West,,,,,,
182,Kanye West,H•A•M,JAY-Z,,,,,,
183,JAY-Z,Primetime,Kanye West,,,,,,
184,JAY-Z,The Joy,Kanye West,Curtis Mayfield,,,,,
185,Big Sean,Marvin,Kanye West,Roscoe Dash,,,,,
186,Beyoncé,Party ,André 3000,,,,,,
187,La Roux,In For The Kill,Kanye West,,,,,,
188,Snoop Dogg,Eyez Closed,Kanye West,John Legend,,,,,
189,Pusha T,Amen ,Kanye West,Jeezy,,,,,
190,Kanye West,To The World,R. Kelly,Teyana Taylor,,,,,
191,Kanye West,Clique,JAY-Z,Big Sean,,,,,
192,Kanye West,Mercy.1,Big Sean,Pusha T,2 Chainz,,,,
193,Kanye West,New God Flow.1,Pusha T,Ghostface Killah,,,,,
194,Raekwon,The Morning,Pusha T,Common,2 Chainz,CyHi The Prynce,Kid Cudi,D'banj,
195,Kanye West,Cold.1,DJ Khaled,,,,,,
196,The-Dream,Higher,Pusha T,Ma$e,Cocaine 80s,,,,
197,John Legend,Sin City,Travis Scott,Teyana Taylor,CyHi The Prynce,Malik Yusef,,,
198,Kanye West,The One,Big Sean,2 Chainz,Marsha Ambrosius,,,,
199,Kid Cudi,Creepers,,,,,,,
200,John Legend,Bliss,Teyana Taylor,,,,,,
201,Kanye West,Don't Like.1,Chief Keef,Pusha T,Big Sean,Jadakiss,,,
202,Katy Perry,E.T.,Kanye West,,,,,,
203,Kanye West,White Dress,,,,,,,
204,The Game,Jesus Piece,Kanye West,Common,,,,,
205,DJ Khaled,I Wish You Would,Kanye West,Rick Ross,,,,,
206,Fat Joe,Pride N Joy,Kanye West,Jadakiss,Roscoe Dash,Busta Rhymes,Mos Def,DJ Khaled,Miguel
207,2 Chainz,Birthday Song,Kanye West,,,,,,
208,Rihanna,Diamonds,Kanye West,,,,,,
209,Kanye West,On Sight,,,,,,,
210,Kanye West,Black Skinhead,,,,,,,
211,Kanye West,I Am A God,,,,,,,
212,Kanye West,New Slaves,,,,,,,
213,Kanye West,Hold My Liquor,,,,,,,
214,Kanye West,I'm In It,,,,,,,
215,Kanye West,Blood On The Leaves,,,,,,,
216,Kanye West,Guilt Trip,,,,,,,
217,Kanye West,Send It Up,,,,,,,
218,Kanye West,Bound 2,,,,,,,
219,Busta Rhymes,Thank You,Q-Tip,Kanye West,Lil Wayne,,,,
220,Future,I Won ,Kanye West,,,,,,
221,Westbam/ML,Radio Siberia,Kanye West,,,,,,
222,The Game,Mula -,Kanye West,,,,,,
223,Rick Ross,Sanctified,Kanye West,Big Sean,,,,,
224,Chief Keef,Nobody ,Kanye West,,,,,,
225,Beyoncé,Drunk in Love Remix ,JAY-Z,Kanye West,,,,,
226,Theophilus London,Can't Stop ,Kanye West,,,,,,
227,A Tribe Called Quest,The Killing Season,,,,,,,
228,Desiigner,Tiimmy Turner,Kanye West,,,,,,
229,Travis Scott,Piss On Your Grave ,Kanye West,,,,,,
230,Pusha T,M.P.A.,Kanye West,A$AP Rocky,The-Dream,,,,
231,Francis and the Lights,My Citys Gone,,,,,,,
232,"Tyler, The Creator",SMUCKERS ,Lil Wayne,Kanye West,,,,,
233,Big Sean,Blessings,Drake,Kanye West,,,,,
234,ScHoolboy Q,THat Part,Kanye West,,,,,,
235,Kanye West,All Day,Theophilus London,Allan Kingdom,Paul McCartney,,,,
236,Kanye West,Only One,Paul McCartney,,,,,,
237,Big Sean,One Man Can Change The World,Kanye West,John Legend,,,,,
238,Big Sean,All Your Fault,Kanye West,,,,,,
239,Vic Mensa,U Mad,Kanye West,,,,,,
240,Rihanna,FourFiveSeconds,Kanye West,Paul McCartney,,,,,
241,Ty Dolla $ign,Guard Down ,Diddy,Kanye West,,,,,
242,The Weeknd,Tell Your Friends,,,,,,,
243,Kanye West,Ultralight Beam,,,,,,,
244,Kanye West,Father Stretch My Hands Pt. 1,,,,,,,
245,Kanye West,Pt. 2,,,,,,,
246,Kanye West,Famous,,,,,,,
247,Kanye West,Feedback,,,,,,,
248,Kanye West,Low Lights,,,,,,,
249,Kanye West,Highlights,,,,,,,
250,Kanye West,Freestyle 4,,,,,,,
251,Kanye West,I Love Kanye,,,,,,,
252,Kanye West,Waves,,,,,,,
253,Kanye West,FML,,,,,,,
254,Kanye West,Real Friends,,,,,,,
255,Kanye West,Wolves,,,,,,,
256,Kanye West,Frank's Track,,,,,,,
257,Kanye West,Siiiiiiiiilver Surffffeeeeer Intermission,,,,,,,
258,Kanye West,30 Hours,,,,,,,
259,Kanye West,No More Parties In LA,,,,,,,
260,Kanye West,Facts (Charlie Heat Version),,,,,,,
261,Kanye West,Fade,,,,,,,
262,Kanye West,Saint Pablo,,,,,,,
263,Chance the Rapper,All We Got ,Kanye West,Chicago Children's Choir,,,,,
264,Frank Ocean,White Ferrari,,,,,,,
265,Drake,Pop Style,The Throne,,,,,,
266,French Montana,Figure it Out ,Kanye West,Nas,,,,,
267,Juicy J,Ballin ,Kanye West,,,,,,
268,Yo Gotti,Castro ,Kanye West,Big Sean,Quavo,2 Chainz,,,
269,Tyga,Feel Me,Kanye West,,,,,,
270,Mary J. Blige,Love Yourself,Kanye West,,,,,,
271,Drake,Glow,Kanye West,,,,,,
272,CyHi The Prynce,Dat Side ,Kanye West,,,,,,
273,Gucci Mane,Pussy Print ,Kanye West,,,,,,
274,A$AP Rocky,Jukebox Joints ,Joe Fox,Kanye West,,,,,
275,The World Famous Tony Williams,Another You ,Kanye West,,,,,,
276,Consequence,Don't Forget 'Em (Remix) ,Kanye West,,,,,,
277,Jagged Edge,Let's Get Married ,Kanye West,"Kanye West for KanMan Productions, Inc. and Krazy Kat Catalogue, Inc.",,,,,
278,XXXTENTACION,One Minute ,Kanye West,Travis Barker,,,,,
279,Kanye West,I Thought About Killing You,,,,,,,
280,Kanye West,Yikes,,,,,,,
281,Kanye West,All Mine,,,,,,,
282,Kanye West,Wouldn't Leave,PARTYNEXTDOOR,,,,,,
283,Kanye West,No Mistakes,,,,,,,
284,Kanye West,Ghost Town,PARTYNEXTDOOR,,,,,,
285,Kanye West,Violent Crimes,,,,,,,
286,KIDS SEE GHOSTS,Feel The Love,Pusha T,,,,,,
287,KIDS SEE GHOSTS,Fire,,,,,,,
288,KIDS SEE GHOSTS,4th Dimension,Louis Prima,,,,,,
289,KIDS SEE GHOSTS,Freeee (Ghost Town Pt. 2),Ty Dolla $ign,,,,,,
290,KIDS SEE GHOSTS,Reborn,,,,,,,
291,KIDS SEE GHOSTS,Kids See Ghosts,Yasiin Bey,,,,,,
292,KIDS SEE GHOSTS,Cudi Montage,,,,,,,
293,Kanye West,Ye vs. the People (starring TI as the People),,,,,,,
294,Kanye West,L,,,,,,,
295,Travis Scott,Watch ,Lil Uzi Vert,Kanye West,,,,,
296,Nas,Cops Shot The Kid,Kanye West,,,,,,
297,Nas,everything,The-Dream,Kanye West,,,,,
298,Teyana Taylor,Hurry,Kanye West,,,,,,
299,Kanye West,XTCY,,,,,,,
300,Kanye West,I Love It ,Lil Pump,,,,,,
301,6ix9ine,MAMA,Nicki Minaj,Kanye West,,,,,
302,6ix9ine,KANGA,Kanye West,,,,,,
303,YNW Melly,Mixed Personalities ,Kanye West,,,,,,
304,"Tyler, The Creator",PUPPET,,,,,,,
305,Kanye West,Every Hour,Sunday Service Choir,,,,,,
306,Kanye West,Selah,,,,,,,
307,Kanye West,Follow God,,,,,,,
308,Kanye West,Closed On Sunday,,,,,,,
309,Kanye West,On God,,,,,,,
310,Kanye West,Everything We Need,Ty Dolla $ign,Ant Clemons,,,,,
311,Kanye West,Water,Ant Clemons,,,,,,
312,Kanye West,God Is,,,,,,,
313,Kanye West,Hands On,Fred Hammond,,,,,,
314,Kanye West,Use This Gospel,Clipse,Kenny G,,,,,
315,Kanye West,Jesus Is Lord,,,,,,,
316,Kanye West,Wash Us In The Blood,Travis Scott,,,,,,
317,Ty Dolla $ign,Ego Death ,FKA twigs,Skrillex,Kanye West,,,,
